,words read,differents
0,100,57
1,200,120
2,300,171
3,400,214
4,500,262
5,600,302
6,700,340
7,800,381
8,900,418
9,1000,460
10,1100,509
11,1200,540
12,1300,573
13,1400,603
14,1500,631
15,1600,663
16,1700,690
17,1800,718
18,1900,740
19,2000,762
20,2100,782
21,2200,804
22,2300,837
23,2400,867
24,2500,891
25,2600,915
26,2700,936
27,2800,950
28,2900,967
29,3000,989
30,3100,1011
31,3200,1030
32,3300,1052
33,3400,1072
34,3500,1082
35,3600,1100
36,3700,1114
37,3800,1132
38,3900,1145
39,4000,1158
40,4100,1171
41,4200,1192
42,4300,1209
43,4400,1226
44,4500,1240
45,4600,1251
46,4700,1266
47,4800,1286
48,4900,1292
49,5000,1317
50,5100,1355
51,5200,1378
52,5300,1403
53,5400,1430
54,5500,1451
55,5600,1483
56,5700,1507
57,5800,1534
58,5900,1564
59,6000,1597
60,6100,1615
61,6200,1646
62,6300,1672
63,6400,1695
64,6500,1708
65,6600,1746
66,6700,1771
67,6800,1790
68,6900,1805
69,7000,1827
70,7100,1846
71,7200,1871
72,7300,1893
73,7400,1918
74,7500,1939
75,7600,1964
76,7700,1979
77,7800,2001
78,7900,2020
79,8000,2038
80,8100,2051
81,8200,2081
82,8300,2101
83,8400,2120
84,8500,2136
85,8600,2160
86,8700,2183
87,8800,2202
88,8900,2228
89,9000,2256
90,9100,2285
91,9200,2298
92,9300,2320
93,9400,2344
94,9500,2374
95,9600,2396
96,9700,2423
97,9800,2451
98,9900,2472
99,10000,2486
100,10100,2510
101,10200,2526
102,10300,2539
103,10400,2548
104,10500,2549
105,10600,2561
106,10700,2570
107,10800,2583
108,10900,2597
109,11000,2605
110,11100,2619
111,11200,2628
112,11300,2639
113,11400,2655
114,11500,2674
115,11600,2682
116,11700,2694
117,11800,2708
118,11900,2726
119,12000,2738
120,12100,2747
121,12200,2761
122,12300,2776
123,12400,2787
124,12500,2801
125,12600,2813
126,12700,2826
127,12800,2840
128,12900,2845
129,13000,2847
130,13100,2855
131,13200,2864
132,13300,2874
133,13400,2878
134,13500,2888
135,13600,2898
136,13700,2905
137,13800,2912
138,13900,2917
139,14000,2936
140,14100,2944
141,14200,2960
142,14300,2963
143,14400,2973
144,14500,2976
145,14600,2987
146,14700,2994
147,14800,2997
148,14900,3009
149,15000,3017
150,15100,3021
151,15200,3028
152,15300,3031
153,15400,3043
154,15500,3053
155,15600,3065
156,15700,3067
157,15800,3077
158,15900,3084
159,16000,3093
160,16100,3094
161,16200,3099
162,16300,3112
163,16400,3118
164,16500,3130
165,16600,3134
166,16700,3144
167,16800,3149
168,16900,3158
169,17000,3165
170,17100,3169
171,17200,3177
172,17300,3184
173,17400,3188
174,17500,3197
175,17600,3202
176,17700,3210
177,17800,3214
178,17900,3219
179,18000,3224
180,18100,3232
181,18200,3239
182,18300,3242
183,18400,3249
184,18500,3252
185,18600,3260
186,18700,3263
187,18800,3265
188,18900,3279
189,19000,3293
190,19100,3316
191,19200,3329
192,19300,3340
193,19400,3358
194,19500,3378
195,19600,3397
196,19700,3406
197,19800,3416
198,19900,3430
199,20000,3437
200,20100,3448
201,20200,3458
202,20300,3472
203,20400,3486
204,20500,3497
205,20600,3512
206,20700,3521
207,20800,3538
208,20900,3544
209,21000,3560
210,21100,3572
211,21200,3593
212,21300,3606
213,21400,3621
214,21500,3635
215,21600,3654
216,21700,3674
217,21800,3683
218,21900,3695
219,22000,3712
220,22100,3725
221,22200,3742
222,22300,3752
223,22400,3763
224,22500,3775
225,22600,3778
226,22700,3790
227,22800,3800
228,22900,3814
229,23000,3824
230,23100,3840
231,23200,3847
232,23300,3861
233,23400,3873
234,23500,3882
235,23600,3892
236,23700,3900
237,23800,3909
238,23900,3916
239,24000,3925
240,24100,3935
241,24200,3942
242,24300,3952
243,24400,3957
244,24500,3963
245,24600,3969
246,24700,3975
247,24800,3984
248,24900,3985
249,25000,3993
250,25100,4001
251,25200,4012
252,25300,4018
253,25400,4026
254,25500,4031
