,word,count,index
0,the,206665,1
1,of,116794,2
2,and,101592,3
3,to,84205,4
4,a,65407,5
5,in,57987,6
6,i,39893,7
7,that,38070,8
8,was,34649,9
9,it,32735,10
10,he,28665,11
11,his,27861,12
12,as,25176,13
13,with,24997,14
14,for,22823,15
15,is,22141,16
16,had,20896,17
17,at,19444,18
18,on,19058,19
19,by,18655,20
20,you,18465,21
21,s,17830,22
22,not,17826,23
23,be,17502,24
24,but,17039,25
25,this,16445,26
26,which,15441,27
27,have,14846,28
28,or,14510,29
29,from,14025,30
30,my,12953,31
31,all,12760,32
32,her,11969,33
33,they,11934,34
34,we,11925,35
35,were,11294,36
36,him,10579,37
37,said,10494,38
38,she,10008,39
39,an,9923,40
40,so,9716,41
41,are,9674,42
42,one,9601,43
43,their,9482,44
44,no,9470,45
45,me,9381,46
46,been,8738,47
47,mr,8394,48
48,there,8209,49
49,would,8057,50
50,when,7983,51
51,if,7901,52
52,them,6950,53
53,what,6928,54
54,who,6878,55
55,will,6328,56
56,up,6313,57
57,out,6252,58
58,more,6034,59
59,its,5947,60
60,any,5922,61
61,very,5807,62
62,then,5712,63
63,could,5690,64
64,into,5676,65
65,some,5539,66
66,t,5531,67
67,time,5441,68
68,man,5260,69
69,other,5209,70
70,our,5059,71
71,upon,5046,72
72,do,5044,73
73,about,5036,74
74,than,4892,75
75,general,4858,76
76,has,4842,77
77,only,4829,78
78,now,4734,79
79,can,4712,80
80,old,4633,81
81,may,4378,82
82,these,4361,83
83,two,4319,84
84,your,4230,85
85,such,4020,86
86,little,3987,87
87,great,3891,88
88,did,3847,89
89,see,3724,90
90,should,3674,91
91,must,3672,92
92,made,3647,93
93,before,3595,94
94,how,3576,95
95,well,3550,96
96,after,3486,97
97,like,3455,98
98,first,3447,99
99,down,3405,100
100,most,3355,101
101,over,3326,102
102,us,3225,103
103,know,3210,104
104,same,3169,105
105,much,3149,106
106,where,3144,107
107,good,3140,108
108,being,3065,109
109,never,3056,110
110,here,3036,111
111,come,2929,112
112,gutenberg,2914,113
113,day,2902,114
114,say,2895,115
115,back,2866,116
116,own,2859,117
117,men,2855,118
118,many,2800,119
119,work,2793,120
120,project,2786,121
121,long,2774,122
122,came,2773,123
123,way,2720,124
124,without,2696,125
125,again,2613,126
126,life,2611,127
127,under,2552,128
128,might,2552,129
129,through,2523,130
130,even,2499,131
131,himself,2467,132
132,go,2427,133
133,found,2422,134
134,sir,2392,135
135,those,2390,136
136,make,2385,137
137,new,2382,138
138,every,2373,139
139,pickwick,2368,140
140,1,2316,141
141,m,2219,142
142,each,2216,143
143,am,2202,144
144,still,2180,145
145,right,2167,146
146,hand,2166,147
147,mrs,2144,148
148,while,2142,149
149,another,2139,150
150,d,2130,151
151,too,2110,152
152,went,2073,153
153,think,2056,154
154,away,2044,155
155,place,2037,156
156,head,2028,157
157,yet,2024,158
158,just,2015,159
159,thought,2010,160
160,between,1995,161
161,people,1993,162
162,last,1981,163
163,three,1954,164
164,young,1949,165
165,nothing,1936,166
166,years,1906,167
167,house,1898,168
168,shall,1898,169
169,night,1890,170
170,left,1886,171
171,once,1880,172
172,though,1879,173
173,having,1873,174
174,eyes,1870,175
175,off,1853,176
176,mind,1835,177
177,lady,1821,178
178,ever,1813,179
179,part,1803,180
180,saw,1802,181
181,thus,1802,182
182,far,1781,183
183,also,1774,184
184,take,1772,185
185,name,1771,186
186,species,1753,187
187,don,1743,188
188,took,1733,189
189,tm,1723,190
190,both,1691,191
191,god,1672,192
192,whole,1644,193
193,why,1641,194
194,against,1639,195
195,because,1583,196
196,thing,1570,197
197,let,1562,198
198,few,1544,199
199,however,1534,200
200,full,1532,201
201,tell,1523,202
202,works,1520,203
203,seemed,1516,204
204,room,1514,205
205,seen,1513,206
206,got,1507,207
207,replied,1502,208
208,dear,1501,209
209,quite,1483,210
210,get,1463,211
211,give,1460,212
212,face,1447,213
213,half,1446,214
214,always,1432,215
215,look,1424,216
216,looked,1420,217
217,sam,1417,218
218,put,1412,219
219,soon,1411,220
220,told,1385,221
221,yes,1385,222
222,course,1378,223
223,among,1377,224
224,case,1368,225
225,gwen,1364,226
226,world,1357,227
227,water,1341,228
228,things,1324,229
229,country,1319,230
230,knew,1313,231
231,called,1312,232
232,use,1304,233
233,heard,1299,234
234,boy,1297,235
235,days,1296,236
236,better,1289,237
237,find,1286,238
238,state,1282,239
239,several,1280,240
240,war,1278,241
